FID,FID_1,GEOID10,NAMELSAD10,POP100_RE,Count_,house_inc,Percent_hi,Percent__M,houseinc_k,age,age_error,Diabete,bigger8,8_dia,7_8,78_dia,6_7,67_dia,6no0,6_dia,PropDiab,PropWhite,null_dia,TownName
28,28,25027710600,Census Tract 7106,6594,2423,48611,81.6,6.6,49,32.7,6.1,228,47,0.206140351,36,0.157894737,38,0.166666667,14,0.061403509,0.094098225,0.811751557,0.407895,
29,29,25027723100,Census Tract 7231,3989,602,61453,92.9,2.1,61,46.7,3.3,47,11,0.234042553,8,0.170212766,15,0.319148936,7,0.14893617,0.07807309,0.958635704,0.12766,HARDWICK
30,30,25027726100,Census Tract 7261,5988,2186,85945,95.8,2,86,44.4,2.1,163,34,0.208588957,40,0.245398773,59,0.36196319,17,0.104294479,0.074565416,0.954156578,0.0797546,SPENCER
31,31,25027759100,Census Tract 7591,2183,581,72375,93.4,3.2,72,43.7,2.9,32,8,0.25,8,0.25,13,0.40625,3,0.09375,0.055077453,0.979981802,0,ESAT BROOKFIELD
32,32,25027754400,Census Tract 7544,3843,1333,53913,82.4,4,54,40.4,3.7,107,28,0.261682243,29,0.271028037,15,0.140186916,10,0.093457944,0.080270068,0.920330969,0.233645,
33,33,25027753100,Census Tract 7531,7458,2551,66789,94.3,2.9,67,42,2.4,209,51,0.244019139,44,0.210526316,68,0.325358852,28,0.133971292,0.081928655,0.885891557,0.0861244,
34,34,25027703100,Census Tract 7031,4323,850,38099,84.3,4.8,38,42.2,7.4,68,15,0.220588235,14,0.205882353,12,0.176470588,7,0.102941176,0.08,0.968909616,0.294118,ATHOL
35,35,25027748100,Census Tract 7481,3190,904,81438,87.4,3.8,81,41.9,2,48,11,0.229166667,11,0.229166667,11,0.229166667,3,0.0625,0.053097345,0.935473815,0.25,MILLVILLE
36,36,25027701100,Census Tract 7011,8340,1578,59609,89.9,2.7,60,43.7,1.9,127,38,0.299212598,22,0.173228346,15,0.118110236,15,0.118110236,0.080481622,0.953532256,0.291339,WINCHENDON
37,37,25027742300,Census Tract 7423,4045,1333,84349,95,3,84,43.7,3.4,82,14,0.170731707,27,0.329268293,30,0.365853659,7,0.085365854,0.061515379,0.851370851,0.0487805,WESTBOROUGH
38,38,25027731102,Census Tract 7311.02,2511,1051,54884,85.5,6.4,55,40.3,3.1,104,24,0.230769231,21,0.201923077,33,0.317307692,9,0.086538462,0.098953378,0.816796875,0.163462,
39,39,25027732500,Census Tract 7325,1776,791,29904,71.8,6.3,30,27.7,4.6,81,26,0.320987654,12,0.148148148,20,0.24691358,9,0.111111111,0.102402023,0.628691983,0.17284,
40,40,25027729100,Census Tract 7291,4997,2085,69292,86.7,5.3,69,36.5,2.9,160,28,0.175,44,0.275,66,0.4125,16,0.1,0.076738609,0.855319914,0.0375,WEST BOYLSTON
41,41,25027744400,Census Tract 7444,3974,814,60993,90.4,4.3,61,35.3,3.9,40,9,0.225,5,0.125,8,0.2,2,0.05,0.049140049,0.80363806,0.4,MILFORD
42,42,25027735100,Census Tract 7351,6713,2211,61815,90.1,3.7,62,45.1,3.9,159,38,0.238993711,30,0.188679245,62,0.389937107,13,0.081761006,0.071913161,0.96904726,0.100629,LEICESTER
43,43,25027710300,Census Tract 7103,3224,1160,69464,86.9,5.2,69,36.1,2.5,128,17,0.1328125,23,0.1796875,37,0.2890625,8,0.0625,0.110344828,0.937321937,0.335938,
44,44,25017321300,Census Tract 3213,7497,1743,50760,82,5.5,51,33.3,2.2,149,47,0.315436242,33,0.22147651,43,0.288590604,11,0.073825503,0.085484796,0.721845839,0.100671,
45,45,25017321400,Census Tract 3214,3297,1047,91635,93.9,2.3,92,43,3.9,78,23,0.294871795,13,0.166666667,24,0.307692308,8,0.102564103,0.074498567,0.840157222,0.128205,
46,46,25017321500,Census Tract 3215,6898,1695,77065,89.7,5.5,77,37.6,5,139,33,0.237410072,25,0.179856115,37,0.26618705,14,0.100719424,0.0820059,0.786976618,0.215827,
47,47,25027739500,Census Tract 7395,7554,4009,118456,94,2.7,118,43.6,2,244,33,0.135245902,50,0.204918033,106,0.43442623,35,0.143442623,0.060863058,0.803356393,0.0819672,
48,48,25027702200,Census Tract 7022,3218,610,59205,85.8,3.2,59,43.5,3.5,45,9,0.2,9,0.2,12,0.266666667,4,0.088888889,0.073770492,0.943379534,0.244444,ROYALSTON
49,49,25017320103,Census Tract 3201.03,2795,349,119821,95.2,3.2,120,40.2,2.4,17,5,0.294117647,2,0.117647059,6,0.352941176,1,0.058823529,0.048710602,0.88743825,0.176471,
